City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new norfolk,-42.7826,147.0587,14.95,62,75,3.94,AU,1727655895
83,gelendost,38.1208,31.0153,19.5,53,0,2.43,TR,1727655896
84,vilyuchinsk,52.9306,158.4028,16.15,80,100,7.84,RU,1727655898
85,keflavik,64.0049,-22.5624,2.24,87,0,6.17,IS,1727655900
86,balaipungut,1.05,101.2833,24.44,96,96,0.59,ID,1727655901
87,ribeira grande,38.5167,-28.7,24.32,93,100,7.6,PT,1727655903
88,pospelikha,51.95,81.7667,6.53,34,100,4.82,RU,1727655904
89,ust-nera,64.5667,143.2,-1.4,81,92,1.97,RU,1727655906
90,lompoc,34.6391,-120.4579,17.51,83,0,5.66,US,1727655908
91,az zuwaytinah,30.9522,20.1202,25.55,74,1,7.75,LY,1727655909
92,sai buri,6.7013,101.6168,25.84,89,49,1.16,TH,1727655911
93,al jawf,29.5,38.75,22.82,37,0,4.88,SA,1727655913
94,hassi messaoud,31.6804,6.0729,27.92,51,0,2.57,DZ,1727655914
95,martapura,-3.4167,114.85,25.05,94,20,1.03,ID,1727655916
96,trondheim,63.4305,10.3951,1.11,89,62,2.52,NO,1727655921
97,touros,-5.1989,-35.4608,24.96,77,66,7.74,BR,1727655922
98,hithadhoo,-0.6,73.0833,28.39,74,79,5.12,MV,1727655926
99,vila franca do campo,37.7167,-25.4333,24.23,92,100,5.41,PT,1727655927
100,west island,-12.1568,96.8225,25.99,83,40,6.17,CC,1727655929
101,anajatuba,-3.2644,-44.6197,25.45,82,97,4.17,BR,1727655930
102,bathsheba,13.2167,-59.5167,28.34,74,20,0.0,BB,1727655932
103,port elizabeth,-33.918,25.5701,12.16,58,0,10.29,ZA,1727655934
104,ashland,40.8167,-82.2665,19.43,98,100,4.27,US,1727655935
105,kerema,-7.9631,145.7785,28.16,77,59,3.19,PG,1727655937
106,hasaki,35.7333,140.8333,23.36,63,100,4.24,JP,1727655939
107,avarua,-21.2078,-159.775,24.03,69,75,3.6,CK,1727655940
108,olonkinbyen,70.9221,-8.7187,-1.66,64,100,4.26,SJ,1727655942
109,nouadhibou,20.931,-17.0347,26.99,50,32,7.72,MR,1727655943
110,georgetown,5.4112,100.3354,27.96,90,20,1.54,MY,1727655945
111,enewetak,11.3474,162.3373,28.51,76,100,5.15,MH,1727655947
112,puerto baquerizo moreno,-0.9,-89.6,20.37,90,88,6.72,EC,1727655948
113,invercargill,-46.4,168.35,15.57,55,9,0.89,NZ,1727655695
